                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88395,                 1.0111,                0.92754,                0.84722,                 0.7973,                0.87935,                  0.704,                 0.7244,                0.50633,                0.86327,               0.003325,               0.003325,               0.003325
                      2,                0.84751,                 0.5582,                0.89587,                0.84195,                0.83053,                0.88397,                0.71072,                0.72208,                0.55166,                0.86893,              0.0066395,              0.0066395,              0.0066395
                      3,                0.86313,                0.56731,                0.90201,                0.78149,                0.71033,                0.80777,                0.61763,                 0.7929,                0.76644,                0.88918,              0.0099352,              0.0099352,              0.0099352
                      4,                0.83508,                 0.5544,                0.89949,                0.86602,                0.80844,                0.89723,                0.72417,                  0.716,                0.48327,                0.86432,              0.0099151,              0.0099151,              0.0099151
                      5,                0.79229,                0.51964,                0.88878,                0.88292,                0.83501,                 0.9103,                0.73594,                 0.7041,                0.47054,                0.86372,              0.0099151,              0.0099151,              0.0099151
                      6,                0.76879,                0.49259,                0.88243,                0.84715,                0.78308,                0.86742,                0.68819,                0.74899,                0.65024,                0.88248,              0.0098869,              0.0098869,              0.0098869
                      7,                0.75105,                0.47754,                 0.8806,                0.87097,                0.82527,                0.90565,                0.73304,                0.70178,                 0.5236,                0.86318,              0.0098586,              0.0098586,              0.0098586
                      8,                0.73315,                0.46518,                0.87506,                0.89702,                0.84998,                0.92491,                0.76312,                0.65345,                0.41693,                0.84647,              0.0098303,              0.0098303,              0.0098303
                      9,                0.72738,                0.46131,                0.87443,                0.89155,                 0.8609,                0.92891,                0.76532,                0.65326,                0.40947,                0.84437,               0.009802,               0.009802,               0.009802
                     10,                0.72151,                0.45389,                0.87301,                0.89828,                0.86184,                0.92948,                0.76471,                0.65444,                0.42629,                0.84936,              0.0097737,              0.0097737,              0.0097737
                     11,                 0.7132,                0.44389,                0.86987,                 0.8991,                0.87111,                 0.9357,                0.77984,                0.63822,                0.39235,                0.84275,              0.0097454,              0.0097454,              0.0097454
                     12,                0.70788,                0.44436,                0.86811,                0.91113,                0.86268,                0.93741,                0.78225,                0.63058,                0.38979,                0.84051,              0.0097171,              0.0097171,              0.0097171
                     13,                0.70143,                0.43287,                0.86376,                0.90434,                0.87176,                0.93656,                 0.7864,                0.62588,                0.38221,                0.83855,              0.0096889,              0.0096889,              0.0096889
                     14,                0.69683,                0.43046,                0.86399,                0.90047,                0.87234,                0.93863,                0.78805,                0.62208,                 0.3834,                0.83838,              0.0096606,              0.0096606,              0.0096606
                     15,                0.69408,                 0.4296,                0.86428,                0.90356,                0.87726,                0.93897,                0.78852,                0.62057,                0.37608,                 0.8372,              0.0096323,              0.0096323,              0.0096323
                     16,                0.68786,                0.42212,                0.86299,                0.90339,                0.87697,                0.94087,                0.79385,                0.61807,                0.37655,                0.83699,               0.009604,               0.009604,               0.009604
                     17,                0.68214,                0.42102,                0.86206,                0.90479,                0.88688,                0.94192,                0.79457,                0.61523,                0.36695,                0.83762,              0.0095757,              0.0095757,              0.0095757
                     18,                0.68003,                0.41705,                0.85977,                0.90135,                0.88829,                0.94292,                0.79778,                0.61152,                0.36435,                0.83602,              0.0095474,              0.0095474,              0.0095474
                     19,                0.67493,                0.41232,                0.85981,                0.91169,                0.88147,                 0.9443,                0.79841,                0.61026,                0.36237,                0.83585,              0.0095191,              0.0095191,              0.0095191
                     20,                0.67614,                0.41549,                0.85972,                0.89993,                0.88954,                0.94375,                0.79876,                0.60619,                0.36531,                0.83496,              0.0094909,              0.0094909,              0.0094909
                     21,                0.67308,                0.41061,                0.85938,                0.91168,                0.88097,                0.94396,                0.80143,                0.60813,                0.35976,                0.83444,              0.0094626,              0.0094626,              0.0094626
                     22,                0.66929,                0.40787,                0.85636,                0.90281,                0.88875,                0.94404,                 0.8018,                0.60648,                0.36113,                0.83433,              0.0094343,              0.0094343,              0.0094343
                     23,                0.66472,                0.40755,                0.85863,                0.90635,                0.88651,                0.94504,                 0.8025,                0.60415,                0.35822,                0.83273,               0.009406,               0.009406,               0.009406
                     24,                 0.6638,                0.40275,                0.85798,                0.91428,                0.88543,                 0.9451,                0.80436,                0.60281,                0.35517,                0.83363,              0.0093777,              0.0093777,              0.0093777
                     25,                0.66562,                0.40019,                0.85557,                0.91817,                 0.8795,                0.94457,                0.80458,                0.60256,                0.35528,                0.83348,              0.0093494,              0.0093494,              0.0093494
                     26,                0.66055,                0.40111,                0.85564,                0.90973,                0.88755,                0.94611,                0.80619,                0.60077,                0.35488,                0.83355,              0.0093211,              0.0093211,              0.0093211
                     27,                0.66041,                 0.3993,                0.85555,                0.91237,                0.88502,                0.94605,                0.80669,                0.60159,                0.35441,                0.83263,              0.0092929,              0.0092929,              0.0092929
                     28,                0.65914,                0.39935,                0.85434,                0.92007,                0.87938,                0.94645,                0.80746,                0.60137,                0.35085,                0.83309,              0.0092646,              0.0092646,              0.0092646
                     29,                0.65433,                0.39562,                0.85376,                0.91165,                0.88593,                0.94565,                 0.8074,                0.59925,                0.35056,                0.83243,              0.0092363,              0.0092363,              0.0092363
                     30,                0.65691,                0.39461,                0.85407,                0.91131,                0.88524,                0.94571,                0.80674,                 0.5985,                0.35244,                0.83267,               0.009208,               0.009208,               0.009208
                     31,                 0.6525,                0.39306,                 0.8515,                0.91422,                0.88467,                0.94647,                0.80749,                0.59925,                0.34968,                0.83289,              0.0091797,              0.0091797,              0.0091797
                     32,                0.65078,                0.39287,                0.85303,                 0.9057,                0.89196,                0.94668,                0.80867,                 0.5995,                0.35026,                0.83296,              0.0091514,              0.0091514,              0.0091514
                     33,                0.65356,                0.39251,                0.85351,                0.90917,                0.89492,                0.94674,                0.80906,                0.59925,                0.34931,                0.83268,              0.0091231,              0.0091231,              0.0091231
                     34,                0.65157,                0.39063,                0.85319,                0.91262,                0.89085,                0.94678,                0.80929,                0.59822,                 0.3486,                 0.8324,              0.0090949,              0.0090949,              0.0090949
                     35,                 0.6459,                0.38857,                0.85152,                0.90962,                  0.893,                0.94666,                0.80932,                0.59699,                0.34779,                0.83217,              0.0090666,              0.0090666,              0.0090666
                     36,                0.64705,                0.38881,                0.85212,                0.91207,                0.89294,                 0.9466,                0.80962,                 0.5964,                0.34709,                0.83205,              0.0090383,              0.0090383,              0.0090383
                     37,                0.64764,                 0.3881,                0.85256,                0.91232,                0.89222,                0.94676,                0.80982,                0.59622,                0.34769,                0.83217,                0.00901,                0.00901,                0.00901
                     38,                0.64812,                0.38936,                0.85391,                0.91427,                0.89265,                0.94657,                0.80981,                0.59587,                0.34755,                0.83221,              0.0089817,              0.0089817,              0.0089817
                     39,                0.64277,                0.38369,                0.85221,                0.91393,                0.89167,                0.94644,                0.81018,                0.59567,                0.34719,                0.83236,              0.0089534,              0.0089534,              0.0089534
                     40,                0.63808,                0.38044,                0.84943,                0.91663,                0.88818,                  0.947,                0.81073,                0.59545,                0.34706,                0.83245,              0.0089251,              0.0089251,              0.0089251
                     41,                 0.6387,                0.38143,                0.85011,                0.91705,                 0.8888,                0.94717,                0.81087,                0.59527,                0.34675,                0.83233,              0.0088969,              0.0088969,              0.0088969
                     42,                0.64073,                0.38255,                0.84866,                0.91848,                0.88733,                0.94701,                0.81132,                0.59483,                0.34664,                0.83213,              0.0088686,              0.0088686,              0.0088686
                     43,                 0.6395,                 0.3829,                0.84944,                0.91871,                0.88791,                0.94713,                0.81127,                0.59485,                0.34676,                0.83211,              0.0088403,              0.0088403,              0.0088403
                     44,                0.63379,                0.37635,                0.84805,                0.91735,                0.88844,                0.94717,                0.81119,                0.59476,                0.34692,                0.83222,               0.008812,               0.008812,               0.008812
                     45,                0.63675,                0.37996,                0.85009,                 0.9166,                0.88887,                0.94723,                0.81125,                0.59474,                0.34682,                0.83231,              0.0087837,              0.0087837,              0.0087837
                     46,                0.63702,                0.38089,                0.85061,                0.91773,                0.88711,                0.94707,                0.81119,                0.59464,                0.34677,                0.83237,              0.0087554,              0.0087554,              0.0087554
                     47,                 0.6324,                0.37604,                0.84793,                0.91925,                0.88593,                0.94667,                0.81133,                0.59453,                0.34682,                0.83238,              0.0087271,              0.0087271,              0.0087271
                     48,                0.63535,                 0.3777,                0.84746,                0.91904,                0.88708,                0.94664,                0.81133,                0.59445,                0.34705,                0.83232,              0.0086989,              0.0086989,              0.0086989
                     49,                0.62724,                0.37163,                0.84641,                0.91849,                0.88644,                0.94647,                0.81156,                0.59442,                0.34717,                0.83229,              0.0086706,              0.0086706,              0.0086706
                     50,                0.62536,                0.36962,                0.84418,                0.91597,                0.88827,                 0.9467,                0.81178,                0.59431,                0.34717,                0.83222,              0.0086423,              0.0086423,              0.0086423
                     51,                 0.6332,                0.37854,                0.84909,                0.91569,                  0.889,                0.94648,                 0.8116,                0.59425,                0.34759,                0.83222,               0.008614,               0.008614,               0.008614
                     52,                0.63426,                0.37668,                0.84817,                 0.9158,                0.88894,                0.94674,                0.81197,                0.59427,                0.34788,                0.83222,              0.0085857,              0.0085857,              0.0085857
                     53,                 0.6341,                0.37835,                0.84962,                0.91538,                0.88902,                0.94662,                0.81165,                0.59426,                0.34818,                0.83224,              0.0085574,              0.0085574,              0.0085574
                     54,                0.63444,                0.37496,                0.84747,                  0.915,                0.88908,                0.94655,                0.81189,                0.59422,                0.34815,                0.83226,              0.0085291,              0.0085291,              0.0085291
                     55,                0.62749,                0.37269,                0.84662,                0.91544,                0.88807,                0.94661,                0.81179,                0.59411,                0.34831,                0.83228,              0.0085009,              0.0085009,              0.0085009
                     56,                0.62797,                0.37285,                0.84636,                0.91549,                0.88793,                0.94641,                 0.8118,                0.59411,                0.34865,                 0.8323,              0.0084726,              0.0084726,              0.0084726
                     57,                0.62232,                0.36614,                0.84582,                0.91638,                0.88742,                0.94643,                0.81173,                0.59403,                0.34869,                0.83231,              0.0084443,              0.0084443,              0.0084443
                     58,                0.61997,                0.36662,                0.84632,                0.91749,                 0.8869,                0.94629,                0.81187,                0.59392,                0.34865,                0.83231,               0.008416,               0.008416,               0.008416
                     59,                0.62587,                0.36914,                0.84587,                0.91656,                0.88765,                 0.9463,                0.81175,                0.59396,                0.34891,                0.83236,              0.0083877,              0.0083877,              0.0083877
                     60,                0.61917,                0.36318,                0.84383,                0.91711,                0.88698,                0.94629,                0.81213,                0.59392,                0.34916,                0.83238,              0.0083594,              0.0083594,              0.0083594
                     61,                 0.6177,                0.36312,                 0.8437,                0.91731,                0.88645,                0.94617,                0.81177,                0.59393,                0.34941,                0.83239,              0.0083311,              0.0083311,              0.0083311
                     62,                0.61936,                0.36318,                0.84555,                0.91708,                 0.8868,                0.94611,                0.81156,                0.59398,                0.34952,                0.83247,              0.0083029,              0.0083029,              0.0083029
                     63,                0.61966,                0.36285,                0.84361,                0.91613,                0.88718,                0.94615,                0.81175,                0.59409,                0.34957,                0.83249,              0.0082746,              0.0082746,              0.0082746
                     64,                0.61824,                0.36394,                0.84487,                0.91583,                0.88771,                0.94584,                0.81169,                0.59405,                0.34928,                0.83249,              0.0082463,              0.0082463,              0.0082463
                     65,                0.61856,                0.36144,                0.84231,                0.91928,                0.88513,                0.94547,                0.81095,                0.59416,                0.34954,                0.83253,               0.008218,               0.008218,               0.008218
                     66,                0.61917,                 0.3617,                0.84419,                0.91951,                0.88493,                0.94555,                0.81113,                0.59422,                0.34914,                 0.8326,              0.0081897,              0.0081897,              0.0081897
                     67,                0.61629,                0.35922,                0.84305,                0.91733,                0.88601,                0.94554,                0.81096,                0.59426,                0.34942,                0.83263,              0.0081614,              0.0081614,              0.0081614
                     68,                 0.6169,                0.36009,                0.84352,                0.91519,                0.88739,                 0.9454,                0.81105,                0.59424,                0.34937,                0.83264,              0.0081331,              0.0081331,              0.0081331
                     69,                0.61607,                0.36211,                0.84277,                0.91432,                0.88784,                0.94557,                0.81118,                0.59431,                0.34954,                0.83265,              0.0081049,              0.0081049,              0.0081049
                     70,                0.61535,                0.36124,                0.84389,                0.91518,                0.88763,                0.94543,                0.81105,                0.59432,                0.34945,                0.83272,              0.0080766,              0.0080766,              0.0080766
